,title,release_year,age_rating,runtime,rating,metascore,director,votes,gross
765,Razorback,1984,R,95,6.0,-1,Russell Mulcahy,5844,150000
766,Frogs,1972,PG,91,4.4,51,George McCowan,5843,475265
767,The Curse of the Cat People,1944,Passed,70,6.8,-1,Gunther von Fritsch,5840,-1
768,Mum & Dad,2008,Not Rated,84,5.9,-1,Steven Sheil,5782,-1
769,Dead & Breakfast,2004,R,88,5.8,34,Matthew Leutwyler,5762,-1
770,Race with the Devil,1975,PG,88,6.7,53,Jack Starrett,5732,12644000
771,Dracula A.D. 1972,1972,PG,96,6.0,-1,Alan Gibson,5719,-1
772,Spirits of the Dead,1968,R,121,6.5,-1,Federico Fellini,5713,-1
773,Torso,1973,R,92,6.5,-1,Sergio Martino,5713,-1
774,Amer,2009,Not Rated,90,6.2,72,Hélène Cattet,5710,-1
775,Satan's Little Helper,2004,R,96,5.3,-1,Jeff Lieberman,5708,-1
776,The Other,1972,PG,108,6.9,65,Robert Mulligan,5669,475611
777,Dr. Phibes Rises Again,1972,PG,89,6.4,-1,Robert Fuest,5648,-1
778,Images,1972,R,104,7.1,-1,Robert Altman,5626,-1
779,The Watcher in the Woods,1980,PG,84,6.3,-1,John Hough,5608,5000000
780,The Ghost of Frankenstein,1942,Approved,67,6.2,-1,Erle C. Kenton,5575,-1
781,The Vampire Lovers,1970,R,91,6.5,63,Roy Ward Baker,5545,-1
782,Red White & Blue,2010,Not Rated,103,6.4,81,Simon Rumley,5493,-1
783,The House That Dripped Blood,1971,PG,102,6.6,55,Peter Duffell,5476,-1
784,The Quatermass Xperiment,1955,Not Rated,78,6.7,-1,Val Guest,5462,-1
785,Auch Zwerge haben klein angefangen,1970,Not Rated,96,6.9,-1,Werner Herzog,5461,-1
786,Paperhouse,1988,PG-13,92,6.7,-1,Bernard Rose,5456,241278
787,The Tomb of Ligeia,1964,Not Rated,82,6.6,-1,Roger Corman,5435,-1
788,Dark Night of the Scarecrow,1981,Not Rated,96,6.8,-1,Frank De Felitta,5429,-1
789,Planet of the Vampires,1965,Not Rated,88,6.3,-1,Mario Bava,5427,251000
790,The Curse of the Werewolf,1961,Approved,93,6.6,-1,Terence Fisher,5427,-1
791,The Night Stalker,1972,Not Rated,74,7.6,-1,John Llewellyn Moxey,5415,-1
792,The Nanny,1965,Unrated,93,7.2,-1,Seth Holt,5408,-1
793,13 Ghosts,1960,Not Rated,85,6.1,56,William Castle,5401,3270000
794,Antropophagus,1980,R,92,5.4,-1,Joe D'Amato,5382,-1
795,Flesh for Frankenstein,1973,R,95,5.9,-1,Paul Morrissey,5373,10246000
796,Bloodsucking Freaks,1976,Unrated,84,4.9,-1,Joel M. Reed,5362,-1
797,Dr. Terror's House of Horrors,1965,Unrated,98,6.7,-1,Freddie Francis,5352,-1
798,Squirm,1976,PG,92,4.8,-1,Jeff Lieberman,5346,-1
799,Road Games,1981,PG,101,6.6,71,Richard Franklin,5340,-1
800,Taste the Blood of Dracula,1970,R,91,6.4,-1,Peter Sasdy,5321,-1
801,Tombs of the Blind Dead,1972,PG,101,6.2,-1,Amando de Ossorio,5298,-1
802,Mute Witness,1995,R,95,6.7,-1,Anthony Waller,5297,1204430
803,Slaughter High,1985,R,90,5.3,-1,George Dugdale,5284,-1
804,Rammbock: Berlin Undead,2010,R,63,6.3,-1,Marvin Kren,5278,-1
805,The Comedy of Terrors,1963,Not Rated,84,6.7,-1,Jacques Tourneur,5170,-1
